"accepted.taxa.name","min_nu.biovol","mn_nu.biovol","mdn_nu.biovol","max_nu.biovol","sd_nu.biovol","n","mn_cells.per.nu","n_sources","w.tsn","level","kingdom","subkingdom","infrakingdom","division","subdivision","phylum","class","subclass","order","family","genus","species"
"Navicula incerta",1.37291200297011,1.76297855381599,1.79588001734408,1.92427928606188,0.127108289780973,19,NA,1,591330,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Naviculales","Naviculaceae","Navicula","incerta"
"Navicula ingenua",1.43136376415899,1.6142869039061,1.58395390500074,1.90145832139611,0.137609409606128,26,NA,1,591332,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Naviculales","Naviculaceae","Navicula","ingenua"
"Navicula integra",1.41329976408125,1.8854797716384,1.67609125905568,2.61489721603313,0.461835202394497,6,NA,1,3874,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Naviculales","Naviculaceae","Navicula","integra"
"Navicula kotschyi",2.04139268515822,2.34699376890463,2.37383017449011,2.53907609879278,0.104808381672078,42,NA,1,4032,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Naviculales","Naviculaceae","Navicula","kotschyi"
"Navicula krasskei",1.43933269383026,1.52900242599799,1.52823516978123,1.62940959910272,0.0520623661490359,20,NA,1,3879,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Naviculales","Naviculaceae","Navicula","krasskei"
"Navicula lanceolata",2.10720996964787,2.98545718760643,2.97772360528885,3.82788598278986,0.335954486326876,247,NA,1,3766,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Naviculales","Naviculaceae","Navicula","lanceolata"
"Navicula lateropunctata",2.29666519026153,2.47969876493422,2.46314549344243,2.66745295288995,0.0879357246649261,72,NA,1,3883,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Naviculales","Naviculaceae","Navicula","lateropunctata"
"Navicula laterostrata",2.44870631990508,2.57814867783756,2.58759349288137,2.65321251377534,0.0728518586546396,6,NA,1,3884,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Naviculales","Naviculaceae","Navicula","laterostrata"
"Navicula lenzii",1.64345267648619,1.64345267648619,1.64345267648619,1.64345267648619,0,2,NA,1,591335,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Naviculales","Naviculaceae","Navicula","lenzii"
"Navicula luzonensis",1.26245108973043,1.56792748170028,1.51851393987789,2.12710479836481,0.230917927241053,139,NA,1,3886,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Naviculales","Naviculaceae","Navicula","luzonensis"
"Navicula menisculus",1.6730209071289,2.31473169528902,2.29775913333562,3.02938377768521,0.323334981353948,110,NA,1,3749,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Naviculales","Naviculaceae","Navicula","menisculus"
"Navicula meniscus",3.02938377768521,3.20619896600359,3.16494737262184,3.36791473879375,0.137312256161776,5,NA,1,591358,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Naviculales","Naviculaceae","Navicula","meniscus"
"Navicula minima",1.13033376849501,1.57656083179562,1.56110138364906,2.01703333929878,0.17607553843284,1673,NA,1,3889,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Naviculales","Naviculaceae","Navicula","minima"
"Navicula minuscula",1.34044411484012,1.65685132479886,1.66181268553726,1.94743372188705,0.13215217309243,39,NA,1,3894,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Naviculales","Naviculaceae","Navicula","minuscula"
"Navicula modica",1.84571801796666,1.84571801796666,1.84571801796666,1.84571801796666,NA,1,NA,1,193791,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Naviculales","Naviculaceae","Navicula","modica"
"Navicula notha",1.8561244442423,2.45243942632836,2.57518170101885,3.03342375548695,0.243171406470908,138,NA,1,3908,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Naviculales","Naviculaceae","Navicula","notha"
